medcodeid,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,term,cough,dyspnoea,sputum
"6519361000006116","391126003","2913553013","^ESCTME651936","","Medical Research Council Breathlessness Scale grade 5",,1,
"12481361000006111","394941000000107","12481361000006111","^ESCT1248136","","[X]Unspecified threat to breathing",,1,
"333708018","394941000000107","817291000000117","U14z","U14z.00","[X]Unspecified threat to breathing",,1,
"1488810017","395111008","1488810017","4I9","4I9..00","Substance level in breath",,1,
"12481261000006118","395141000000108","12481261000006118","^ESCT1248126","","[X]Unspecified threat to breathing, occurrence at sports and athletics area",,1,
"430751000006114","395141000000108","959821000000112","U14z3","U14z300","[X]Unspecified threat to breathing, occurrence at sports and athletics area",,1,
"12481271000006113","395151000000106","12481271000006113","^ESCT1248127","","[X]Unspecified threat to breathing, occurrence at trade and service area",,1,
"430761000006111","395151000000106","817311000000116","U14z5","U14z500","[X]Unspecified threat to breathing, occurrence at trade and service area",,1,
"12481381000006118","395171000000102","12481381000006118","^ESCT1248138","","[X]Unspecified threat to breathing, occurrence on farm",,1,
"333716010","395171000000102","816961000000116","U14z7","U14z700","[X]Unspecified threat to breathing, occurrence on farm",,1,
"12481221000006112","395981000000103","12481221000006112","^ESCT1248122","","[X]Unspecified threat to breathing, occurrence at other specified place",,1,
"430711000006113","395981000000103","817081000000114","U14zy","U14zy00","[X]Unspecified threat to breathing, occurrence at other specified place",,1,
"1780464016","401275008","1780464016","173M","173M.00","Borg Breathlessness Score: 0 none at all",,1,
"1780468018","401279002","1780468018","173P","173P.00","Borg Breathlessness Score: 1 very slight",,1,
"1780469014","401280004","1780469014","173Q","173Q.00","Borg Breathlessness Score: 2 slight",,1,
"1780470010","401281000","1780470010","173R","173R.00","Borg Breathlessness Score: 3 moderate",,1,
"1780471014","401282007","1780471014","173S","173S.00","Borg Breathlessness Score: 4 somewhat severe",,1,
"1780473012","401284008","1780473012","173T","173T.00","Borg Breathlessness Score: 5 severe",,1,
"1780475017","401286005","1780475017","173V","173V.00","Borg Breathlessness Score: 6 severe (+)",,1,
"1780479011","401290007","1780479011","173W","173W.00","Borg Breathlessness Score: 7 very severe",,1,
"1780480014","401291006","1780480014","173X","173X.00","Borg Breathlessness Score: 8 very severe (+)",,1,
"911011000006110","401292004","1780481013","173Y","173Y.00","Borg Breathlessness Score: 9 very, very severe (almost maximal)",,1,
"1780482018","401293009","1780482018","173a","173a.00","Borg Breathlessness Score: 10 maximal",,1,
"910921000006114","401323002","1780510017","173N","173N.00","Borg Breathlessness Score: 0.5 very, very slight (just noticeable)",,1,
"3153771000006119","40617009","492702014","^ESCTME315377","","Mechanically assisted breathing",,1,
"12476751000006113","406491000000106","12476751000006113","^ESCT1247675","","[X]Other specified threats to breathing, occurrence at sports and athletics area",,1,
"405341000006114","406491000000106","960761000000114","U14y3","U14y300","[X]Other specified threats to breathing, occurrence at sports and athletics area",,1,
"333698016","406611000000104","1026241000000115","U14y0","U14y000","[X]Other specified threats to breathing, occurrence at home",,1,
"12477681000006113","406611000000104","812261000000113","^ESCT1247768","","[X]Other specified threats to breathing, occurrence at home",,1,
"2159189012","407588003","2159189012","173b","173b.00","Unable to complete a sentence in one breath",,1,
"12481231000006110","408121000000102","12481231000006110","^ESCT1248123","","[X]Unspecified threat to breathing, occurrence at unspecified place",,1,
"430721000006117","408121000000102","952341000000118","U14zz","U14zz00","[X]Unspecified threat to breathing, occurrence at unspecified place",,1,
"2694247010","427931002","2694247010","4E2D","4E2D.00","White sputum",,,1
"2692059016","428445000","2692059016","4JM3","4JM3.00","Helicobacter breath test equivocal",,1,
"3201001000006118","43516009","493626012","^ESCTFE320100","","Fetid sputum",,,1
"493627015","43516009","493627015","4E26","4E26.00","Sputum: fetid/offensive",,,1
"12476711000006112","436151000000101","12476711000006112","^ESCT1247671","","[X]Other specified threats to breathing, occurrence at school, other institution and public administrative area",,1,
"405301000006112","436151000000101","817231000000118","U14y2","U14y200","[X]Other specified threats to breathing, occurrence at school, other institution and public administrative area",,1,
"12476771000006115","436191000000109","12476771000006115","^ESCT1247677","","[X]Other specified threats to breathing, occurrence at industrial and construction area",,1,
"405361000006113","436191000000109","939181000000116","U14y6","U14y600","[X]Other specified threats to breathing, occurrence at industrial and construction area",,1,
"7295721000006116","444642008","1650971000000111","^ESCTNI729572","","Nitric oxide breath test",,1,
"12476731000006118","447751000000103","12476731000006118","^ESCT1247673","","[X]Other specified threats to breathing, occurrence on street and highway",,1,
"405321000006119","447751000000103","817241000000110","U14y4","U14y400","[X]Other specified threats to breathing, occurrence on street and highway",,1,
"405371000006118","448031000000106","1026251000000117","U14y1","U14y100","[X]Other specified threats to breathing, occurrence in residential institution",,1,
"12476781000006117","448031000000106","811731000000115","^ESCT1247678","","[X]Other specified threats to breathing, occurrence in residential institution",,1,
"333705015","448081000000105","1011851000000118","U14y7","U14y700","[X]Other specified threats to breathing, occurrence on farm",,1,
"12477691000006111","448081000000105","817261000000111","^ESCT1247769","","[X]Other specified threats to breathing, occurrence on farm",,1,
"12481211000006116","448661000000109","12481211000006116","^ESCT1248121","","[X]Unspecified threat to breathing, occurrence at industrial and construction area",,1,
"430701000006110","448661000000109","817321000000110","U14z6","U14z600","[X]Unspecified threat to breathing, occurrence at industrial and construction area",,1,
"12476721000006116","460731000000103","12476721000006116","^ESCT1247672","","[X]Other specified threats to breathing, occurrence at unspecified place",,1,
"405311000006110","460731000000103","817281000000119","U14yz","U14yz00","[X]Other specified threats to breathing, occurrence at unspecified place",,1,
"12481371000006116","460791000000102","12481371000006116","^ESCT1248137","","[X]Unspecified threat to breathing, occurrence at home",,1,
"333709014","460791000000102","816971000000111","U14z0","U14z000","[X]Unspecified threat to breathing, occurrence at home",,1,
"12481281000006111","460801000000103","12481281000006111","^ESCT1248128","","[X]Unspecified threat to breathing, occurrence in residential institution",,1,
"430771000006116","460801000000103","944871000000112","U14z1","U14z100","[X]Unspecified threat to breathing, occurrence in residential institution",,1,
"12481241000006117","460961000000105","12481241000006117","^ESCT1248124","","[X]Unspecified threat to breathing, occurrence on street and highway",,1,
"430731000006119","460961000000105","944881000000114","U14z4","U14z400","[X]Unspecified threat to breathing, occurrence on street and highway",,1,
"3256171000006112","46775006","2921051013","^ESCTRE325617","","Respiratory distress syndrome in neonate",,1,
"3256111000006115","46775006","494624018","^ESCTID325611","","Idiopathic respiratory distress syndrome",,1,
"3256131000006114","46775006","494626016","^ESCTRD325613","","RDS - Respiratory distress syndrome of newborn",,1,
"3256151000006119","46775006","494628015","^ESCTRE325615","","Respiratory distress syndrome of newborn",,1,
"3256161000006117","46775006","494629011","^ESCTIR325616","","IRDS - Idiopathic respiratory distress syndrome",,1,
"316897013","46775006","77961010","Qyu30","Qyu3000","Respiratory distress syndrome in the newborn",,1,
"3256041000006115","46775006","77963013","^ESCTCA325604","","Cardiorespiratory distress syndrome of newborn",,1,
"3256051000006118","46775006","77964019","^ESCTID325605","","Idiopathic respiratory distress syndrome of newborn",,1,
"175421000006117","46775006","77969012","Q30","Q30..00","Respiratory distress syndrome",,1,
"77969012","46775006","77969012","Q32","Q32..00","Neonatal respiratory distress syndrome",,1,
"3256651000006113","46802002","494650019","^ESCTCI325665","","Cigarette cough",1,,
"78013015","46802002","78013015","H3101","H310100","Smokers' cough",1,,
"468531000033119","468531000033103","468531000033119","DRGA5645EMIS","","Beclazone Easi-Breathe",,1,
"468631000033115","468631000033104","468631000033115","DRGA5646EMIS","","Beclazone 250 Easi-Breathe",,1,
"1875731000006118","473330008","1875731000006118","EMISNQCH217","","Chronic resp. disease questionnaire dyspnoea subscale score",,1,
"7486681000006119","473330008","2956576017","^ESCTCH748668","","Chronic respiratory disease questionnaire dyspnea subscale score",,1,
"7486671000006117","473330008","2956651014","^ESCTCH748667","","Chronic respiratory disease questionnaire dyspnoea subscale score",,1,
"474231000033116","474231000033100","474231000033116","DRGA5710EMIS","","Salamol Easi-Breathe",,1,
"3304991000006116","49727002","1230769019","^ESCTOB330499","","Observation of cough",1,,
"82824016","49727002","82824016","171","171..00","Cough",1,,
"317403015","49727002","82824016","R062","R062.00","[D]Cough",1,,
"523231000033113","523231000033109","523231000033113","DRGA6153EMIS","","Cromogen Easi-Breathe",,1,
"544431000033112","544431000033108","544431000033112","DRGA6299EMIS","","Ventolin Easi-Breathe",,1,
"544531000033111","544531000033107","544531000033111","DRGA6300EMIS","","Becotide 50 Easi-Breathe",,1,
"544631000033110","544631000033106","544631000033110","DRGA6301EMIS","","Becotide 100 Easi-Breathe",,1,
"544731000033115","544731000033104","544731000033115","DRGA6302EMIS","","Becloforte Easi-Breathe",,1,
"3400201000006115","55442000","1216744016","^ESCTPN340020","","PND - Paroxysmal nocturnal dyspnoea",,1,
"3400211000006117","55442000","1218234012","^ESCTPN340021","","PND - Paroxysmal nocturnal dyspnea",,1,
"198599018","55442000","198599018","1736","1736.00","Paroxysmal nocturnal dyspnoea",,1,
"3400191000006118","55442000","92176018","^ESCTPA340019","","Paroxysmal nocturnal dyspnea",,1,
"3410121000006117","56018004","93174010","^ESCTAS341012","","Asthmatic breath sounds",,1,
"3410131000006119","56018004","93175011","^ESCTAS341013","","Asthmatic breathing",,1,
"3455891000006110","58840004","498258013","^ESCTDE345589","","Decreased breath sounds",,1,
"12723841000006118","600911000000107","1330791000000115","^ESCT1272384","","Perinatal respiratory distress NOS",,1,
"894281000006118","600911000000107","894281000006118","Q31y2-99","Q31y299","Perinatal resp. distress NOS",,1,
"3488341000006110","60845006","101102017","^ESCTEX348834","","Exertional dyspnea",,1,
"3488351000006112","60845006","101103010","^ESCTBR348835","","Breathlessness on exertion",,1,
"3488361000006114","60845006","101104016","^ESCTDY348836","","Dyspnea on effort",,1,
"3488371000006119","60845006","101105015","^ESCTDY348837","","Dyspnoea on effort",,1,
"1232138017","60845006","1232138017","173C","173C.00","Short of breath on exertion",,1,
"3488411000006118","60845006","1232139013","^ESCTSO348841","","SOBOE - Shortness of breath on exertion",,1,
"3488381000006116","60845006","199001013","^ESCTEX348838","","Exertional dyspnoea",,1,
"498862013","60845006","498862013","173C-1","173C.11","Dyspnoea on exertion",,1,
"3488391000006118","60845006","498863015","^ESCTDY348839","","Dyspnea on exertion",,1,
"11905591000006110","62744007","104280017","^ESCT1190559","","Orthopnea",,1,
"317383018","62744007","104281018","R0602","R060200","Orthopnea",,1,
"41791000006118","62744007","104281018","1735-1","1735.11","Orthopnoea",,1,
"525691000006114","62744007","1232389014","1735","1735.00","Breathlessness lying flat",,1,
"3545921000006110","64299003","2536426014","^ESCTRE354592","","Relaxation/breathing techniques treatments and procedures",,1,
"428701000006111","67292001","111808010","U1421","U142100","[X]Threat breath due cave-in fall earth+oth subs resid inst",,1,
"428721000006118","67292001","111808010","U1427","U142700","[X]Threat breath due cave-in fall earth+oth substn occ farm",,1,
"428771000006117","67292001","111808010","U142z","U142z00","[X]Thret breath due cave-in fall erth+oth sub unspecif place",,1,
"428761000006112","67292001","111808010","U1425","U142500","[X]Thret breath due cave-in fall erth+oth sub trad/serv area",,1,
"428731000006115","67292001","111808010","U1420","U142000","[X]Threat breath due cave-in fall earth+oth substn occ home",,1,
"428711000006114","67292001","111808010","U1424","U142400","[X]Threat breath due cave-in fall earth+oth subs strt/h'way",,1,
"428741000006113","67292001","111808010","U142","U142.00","[X]Threat to breathng due cave-in fallng earth + oth substn",,1,
"428751000006110","67292001","111808010","U1423","U142300","[X]Thret breath due cave-in fall erth+oth sub sprt/athl area",,1,
"112574019","67782005","112574019","H5853","H585300","Adult respiratory distress syndrome",,1,
"463141000006111","67782005","112574019","H585-1","H585.11","Adult respiratory distress syndrome",,1,
"3602361000006110","67782005","3323230018","^ESCTAC360236","","Acute respiratory distress syndrome",,1,
"3602451000006118","67782005","500838011","^ESCTAC360245","","Acquired respiratory distress syndrome",,1,
"3602471000006111","67782005","500840018","^ESCTAR360247","","ARDS - Adult respiratory distress syndrome",,1,
"113213012","68154008","113213012","171A","171A.00","Chronic cough",1,,
"3621831000006111","68978004","501150011","^ESCTOV362183","","Overbreathing",,1,
"1809281000006116","69328002","115159017","EMISNQDI90","","Distress",,1,
"2287071000000115","702535006","3004280013","173f","173f.00","Anxiety about breathlessness",,1,
"2287881000000112","702581006","2390171000000112","173g","173g.00","Breathlessness causing difficulty eating",,1,
"7563281000006118","702581006","3004427012","^ESCTDI756328","","Difficulty eating due to breathlessness",,1,
"3645081000006116","70407001","116963016","^ESCTST364508","","Stridulous breathing",,1,
"7698591000006118","713013008","3286964014","^ESCTBR769859","","Breath holding attack",,1,
"317453014","713013008","3287204013","R06z0","R06z000","Breath holding spell",,1,
"2379631000000117","713661000","3292644018","173h","173h.00","Able to complete sentence in one breath",,1,
"2001721000006110","718612000","3312835013","EMISNQCL30","","Clinical Outcomes in Routine Evaluation Outcome Measure Global Distress score",,1,
"7774861000006116","718612000","3312836014","^ESCTCO777486","","CORE-OM (Clinical Outcomes in Routine Evaluation Outcome Measure) Global Distress score",,1,
"730921000033113","730921000033109","730921000033113","DRGC6733EMIS","","Tracheostomy Breathing Aid",,1,
"738321000033114","738321000033105","738321000033114","DRGC6752EMIS","","Helicobacter Pylori Breath",,1,
"301448015","74417001","123588010","H311z","H311z00","Mucopurulent chronic bronchitis NOS",,,1
"123588010","74417001","123588010","H311","H311.00","Mucopurulent chronic bronchitis",,,1
"885281000006118","74417001","885281000006118","H311-99","H311.99","Mucopurulent chr. bronchitis",,,1
"3727481000006113","75483001","503031017","^ESCTBR372748","","Breathing painful",,1,
"216593018","763074005","3637788015","388H","388H.00","Cardiovascular Limitations and Symptoms Profile shortness of breath score",,1,
"11999461000006115","763074005","3637790019","^ESCT1199946","","CLASP (Cardiovascular Limitations and Symptoms Profile) shortness of breath score",,1,
"1706441000000112","766171000000106","1706441000000112","8E930","8E93000","Buteyko breathing exercises",,1,
"3757591000006111","77329001","1234095017","^ESCTBR375759","","Breathing orally",,1,
"1222513012","77329001","128341012","R060z-1","R060z11","[D]Mouth breather",,1,
"317322013","77329001","128341012","R04z2","R04z200","Mouth breathing",,1,
"3799081000006115","79879001","1234407013","^ESCTSM379908","","Smelly breath",,1,
"1234408015","79879001","1234408015","1752","1752.00","Bad breath - halitosis",,1,
"3799101000006111","79879001","1234409011","^ESCTBR379910","","Breath smells offensive",,1,
"3799111000006114","79879001","1234410018","^ESCTFO379911","","Foul breath",,1,
"1222501019","79879001","1234410018","R04z1-1","R04z111","[D]Foul breath",,1,
"132523019","79879001","132523019","1752-1","1752.11","Bad breath",,1,
"806931000033118","806931000033102","806931000033118","DRGA11373NEMIS","","Robitussin Chesty Cough",1,,1
"8260311000006113","810511000000109","2114811000000111","^ESCTEP826031","","Episodic dry cough",1,,
"2168391000000116","810511000000109","2168391000000116","R0621","R062100","[D]Episodic dry cough",1,,
"1812891000006110","823461000000106","2143431000000113","8Hlj","8Hlj.00","Referral to British Lung Foundation breathe easy support group",,1,
"506053014","84409004","506053014","H3110","H311000","Purulent chronic bronchitis",,,1
"8285811000006114","845301000000103","2192581000000112","^ESCTDO828581","","DOSE (dyspnoea, airflow obstruction, smoking status, exacerbation frequency) index score",,1,
"1865641000006112","845301000000103","2192591000000114","38Gb","38Gb.00","Dyspnoea, airflow obstruction, smoking status, exacerbation frequency index score",,1,
"8285801000006111","845301000000103","8285801000006111","^ESCTDY828580","","Dyspnoea, airflow obstruction, smoking status, exacerbation frequency index score",,1,
"2226161000000119","860741000000100","2226161000000119","4E290","4E29000","Dark green sputum",,,1
"2226201000000110","860761000000104","2226201000000110","4E291","4E29100","Pale green sputum",,,1
"3903071000006112","86290005","1235120011","^ESCTBR390307","","BR - Breathing rate",,1,
"3903091000006113","86290005","1235122015","^ESCTBR390309","","Breathing rate",,1,
"253916011","86290005","143107019","235-1","235..11","O/E - breathing rate",,1,
"307537018","87383005","144882018","L390z","L390z00","Maternal distress NOS",,1,
"307532012","87383005","144882018","L3900","L390000","Maternal distress unspecified",,1,
"144882018","87383005","144882018","L390","L390.00","Maternal distress",,1,
"132001000006112","8955008","508569015","4E23","4E23.00","Mucopurulent sputum",,,1
"525611000006116","90091006","508840019","E2Cy0","E2Cy000","Breath holding with temper",,1,
"316294010","90562004","150089012","Q214z","Q214z00","Liveborn with unspecified fetal distress NOS",,1,
"316290018","90562004","150089012","Q214","Q214.00","Liveborn with fetal distress, unspecified",,1,
"3971731000006117","90562004","150089012","^ESCTFE397173","","Fetal distress, in liveborn infant",,1,
"3971741000006110","90562004","150093018","^ESCTFE397174","","Fetal intrauterine distress, not clear if noted before OR after onset of labor in liveborn infant",,1,
"1222462010","90562004","2793508015","Q214-1","Q214.11","Fetal distress, unspecified when, liveborn",,1,
"12704651000006111","90562004","2793508015","^ESCT1270465","","Foetal distress, in liveborn infant",,1,
"3971761000006114","90562004","2795418012","^ESCTFO397176","","Foetal intrauterine distress, not clear if noted before OR after onset of labour in liveborn infant",,1,
"3971721000006115","90562004","3971721000006115","^ESCTFO397172","","Foetal distress, in liveborn infant",,1,
"3971751000006112","90562004","509056017","^ESCTFE397175","","Fetal intrauterine distress, not clear if noted before OR after onset of labour in liveborn infant",,1,
"908571000006118","908571000006102","908571000006118","HNG0515","","[RFC] Breath holding",,1,
"2337941000000112","909421000000102","2337981000000116","38QW","38QW.00","Diabetes Distress Scale 2 item score",,1,
"8323641000006110","909421000000102","2338001000000111","^ESCTDD832364","","DDS2 (Diabetes Distress Scale 2) score",,1,
"8323631000006117","909421000000102","8323631000006117","^ESCTDI832363","","Diabetes Distress Scale 2 item score",,1,
"2338051000000112","910931000000101","2341461000000112","38QX","38QX.00","Diabetes Distress Scale 17 item score",,1,
"8325001000006117","910931000000101","2341481000000115","^ESCTDD832500","","DDS17 (Diabetes Distress Scale 17) score",,1,
"8324991000006112","910931000000101","8324991000006112","^ESCTDI832499","","Diabetes Distress Scale 17 item score",,1,
"460916013","91251008","151194017","ZV570","ZV57000","[V]Breathing exercises",,1,
"939911000006119","939911000006103","939911000006119","EMISNQTR1","","Troubled / distressed",,1,
"947231000033110","947231000033106","947231000033110","DRGA19054NEMIS","","Qvar Easi-Breathe",,1,
"951841000006113","951841000006109","951841000006113","TRISLIM37","","Unfit breathing apparatus/AGR",,1,
"960871000006117","960871000006101","960871000006117","EMISCRE6","","Relaxation/breathing techniques",,1,
"961761000006112","961761000006108","961761000006112","EMISCAB17","","Abnormal breathing patterns",,1,
"961771000006117","961771000006101","961771000006117","EMISCUN14","","Unable to breathe independently",,1,
"961781000006119","961781000006103","961781000006119","EMISCCO10","","Cough",1,,
"961811000006117","961811000006101","961811000006117","EMISCAB18","","Abnormal sputum",,,1
"961841000006118","961841000006102","961841000006118","EMISCAB19","","Abnormal breath sounds",,1,
"973721000006112","973721000006108","973721000006112","TRIGPZZ60","","** Book pack b - MRCGP candidates",,1,
"973731000006110","973731000006106","973731000006110","TRIGPZZ61","","** Notes for the MRCGP",,1,
"973741000006117","973741000006101","973741000006117","TRIGPZZ62","","** MRCGP practice papers: MCQS & EMQS",,1,
"982351000006118","982351000006102","982351000006118","EMISCDY2","","Dyspnoea",,1,
